ingredient_name,fat_g,carbs_g,protein_g,calories,sodium_mg,category
"Babyfood, carrots, toddler",0.3,5.23,0.6,21.0,48.0,other
"Babyfood, cereal, barley, dry fortified",6.6,69.4,13.2,376.0,33.0,other
"Babyfood, cereal, barley, prepared with whole milk",3.26,9.94,3.73,84.0,43.0,other
"Babyfood, cereal, brown rice, dry, instant",3.0,86.0,8.7,406.0,12.0,other
"Babyfood, cereal, egg yolks and bacon, junior",5.0,6.2,2.5,79.0,48.0,other
"Babyfood, cereal, high protein, prepared with whole milk",3.8,11.6,8.7,111.0,49.0,other
"Babyfood, cereal, high protein, with apple and orange, dry",6.5,57.6,25.4,374.0,104.0,other
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",3.9,13.4,6.9,112.0,58.0,other
"Babyfood, cereal, mixed, dry fortified",6.66,78.2,6.66,399.0,33.0,other
"Babyfood, cereal, mixed, prepared with whole milk",3.38,12.3,4.14,96.0,42.0,other
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",0.51,18.8,0.71,84.0,5.0,other
"Babyfood, cereal, mixed, with applesauce and bananas, strained",0.51,18.4,0.71,82.0,5.0,other
"Babyfood, cereal, mixed, with bananas, dry",4.6,77.1,10.7,391.0,0.0,other
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",3.46,10.0,3.82,86.0,48.0,other
"Babyfood, cereal, mixed, with honey, prepared with whole milk",3.6,15.9,5.0,115.0,48.0,other
"Babyfood, cereal, oatmeal, dry fortified",6.36,73.5,11.0,394.0,21.0,other
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",6.42,73.6,10.9,396.0,23.0,other
"Babyfood, cereal, oatmeal, prepared with whole milk",4.1,15.3,5.0,116.0,46.0,other
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",0.89,16.0,0.89,76.0,4.0,other
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",0.89,15.6,0.89,75.0,4.0,other
"Babyfood, cereal, oatmeal, with bananas, dry",6.67,78.1,6.67,399.0,33.0,other
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",3.46,10.0,3.82,86.0,48.0,other
"Babyfood, cereal, oatmeal, with honey, dry",7.0,69.3,13.5,391.0,47.0,other
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",3.9,15.3,5.0,115.0,49.0,other
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",0.9,88.5,6.6,389.0,2.0,other
"Babyfood, cereal, rice, dry fortified",2.19,83.1,6.65,390.0,32.0,other
"Babyfood, cereal, rice, prepared with whole milk",3.38,10.3,3.45,85.0,42.0,other
"Babyfood, cereal, rice, with applesauce and bananas, strained",0.4,17.1,1.2,80.0,4.0,other
"Babyfood, cereal, rice, with bananas, dry",4.2,79.9,8.7,404.0,0.0,other
"Babyfood, cereal, rice, with bananas, prepared with whole milk",3.32,10.5,3.57,86.0,47.0,other
"Babyfood, cereal, rice, with honey, prepared with whole milk",3.3,17.1,3.9,115.0,49.0,other
"Babyfood, cereal, whole wheat, with apples, dry fortified",4.8,83.2,6.6,402.0,66.0,other
"Babyfood, cereal, with egg yolks, junior",1.8,7.1,1.9,52.0,33.0,other
"Babyfood, cereal, with egg yolks, strained",1.8,7.0,1.9,51.0,33.0,other
"Babyfood, cereal, with eggs, strained",1.5,8.0,2.2,58.0,38.0,other
"Babyfood, cherry cobbler, junior",0.1,19.2,0.3,78.0,0.0,other
"Babyfood, cookie, baby, fruit",12.6,73.7,6.8,435.0,9.0,other
"Babyfood, cookies",13.2,67.1,11.8,433.0,300.0,other
"Babyfood, cookies, arrowroot",10.0,75.4,7.6,424.0,319.0,other
"Babyfood, corn and sweet potatoes, strained",0.28,15.2,1.26,68.0,14.0,other
"Babyfood, crackers, vegetable",19.6,66.8,8.4,477.0,633.0,other
"Babyfood, dessert, banana pudding, strained",0.8,14.1,1.0,68.0,54.0,other
"Babyfood, dessert, banana yogurt, strained",0.52,17.4,1.1,78.0,14.0,other
"Babyfood, dessert, blueberry yogurt, strained",0.7,17.0,0.5,77.0,14.0,other
"Babyfood, dessert, cherry vanilla pudding, junior",0.2,18.4,0.2,69.0,0.0,other
"Babyfood, dessert, cherry vanilla pudding, strained",0.3,17.8,0.2,68.0,0.0,other
"Babyfood, dessert, custard pudding, vanilla, junior",0.98,17.6,1.76,86.0,26.0,other
"Babyfood, dessert, custard pudding, vanilla, strained",2.0,16.0,1.6,85.0,0.0,other
"Babyfood, dessert, dutch apple, junior",0.16,19.2,0.2,79.0,3.0,other
"Babyfood, dessert, dutch apple, strained",0.4,19.7,0.2,75.0,0.0,other
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",0.0,17.2,0.3,63.0,0.0,other
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",0.0,16.0,0.3,59.0,0.0,other
"Babyfood, dessert, fruit pudding, orange, strained",0.9,17.7,1.1,80.0,20.0,other
"Babyfood, dessert, fruit pudding, pineapple, strained",0.3,20.3,1.3,81.0,0.0,other
"Babyfood, dessert, peach cobbler, junior",0.0,18.3,0.3,67.0,0.0,other
"Babyfood, dessert, peach cobbler, strained",0.0,17.8,0.3,65.0,7.0,other
"Babyfood, dessert, peach melba, junior",0.0,16.4,0.3,60.0,9.0,other
"Babyfood, dessert, peach melba, strained",0.0,16.5,0.2,60.0,9.0,other
"Babyfood, dessert, peach yogurt",0.18,17.6,0.9,77.0,14.0,other
"Babyfood, dessert, tropical fruit, junior",0.0,16.4,0.2,60.0,7.0,other
"Babyfood, dinner, apples and chicken, strained",1.38,10.9,2.16,65.0,12.0,other
"Babyfood, dinner, beef and rice, toddler",2.9,8.8,5.0,82.0,32.0,other
"Babyfood, dinner, beef lasagna, toddler",2.1,10.0,4.2,77.0,41.0,other
"Babyfood, dinner, beef noodle, junior",1.9,7.3,2.5,57.0,26.0,other
"Babyfood, dinner, beef noodle, strained",2.26,8.18,2.44,63.0,15.0,other
"Babyfood, dinner, beef with vegetables",6.93,6.36,2.03,96.0,38.0,other
"Babyfood, dinner, broccoli and chicken, junior",2.48,6.34,3.59,62.0,17.0,other
"Babyfood, dinner, chicken and rice",0.9,9.2,1.6,51.0,25.0,other
"Babyfood, dinner, chicken noodle, junior",3.23,7.8,3.53,74.0,25.0,other
"Babyfood, dinner, chicken noodle, strained",3.22,7.81,3.53,74.0,25.0,other
"Babyfood, dinner, chicken soup, strained",1.7,7.2,1.6,50.0,16.0,other
"Babyfood, dinner, chicken stew, toddler",3.7,6.4,5.2,78.0,25.0,other
"Babyfood, dinner, macaroni and cheese, junior",2.0,8.2,2.6,61.0,183.0,other
"Babyfood, dinner, macaroni and cheese, strained",2.11,8.95,3.14,67.0,88.0,other
"Babyfood, dinner, macaroni and tomato and beef, junior",1.1,9.4,2.5,59.0,35.0,other
"Babyfood, dinner, macaroni and tomato and beef, strained",1.47,9.45,2.36,61.0,38.0,other
"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",1.9,11.5,4.34,82.0,35.0,other
"Babyfood, dinner, mixed vegetable, junior",0.11,7.88,1.01,34.0,40.0,other
"Babyfood, dinner, mixed vegetable, strained",0.1,9.5,1.2,41.0,38.0,other
"Babyfood, dinner, pasta with vegetables",2.1,8.4,1.7,60.0,11.0,other
"Babyfood, dinner, spaghetti and tomato and meat, junior",1.37,11.4,2.57,68.0,30.0,other
"Babyfood, dinner, spaghetti and tomato and meat, toddler",1.0,10.8,5.3,75.0,239.0,other
"Babyfood, dinner, sweet potatoes and chicken, strained",2.17,11.0,2.51,74.0,22.0,other
"Babyfood, dinner, turkey and rice, junior",0.92,9.57,2.37,56.0,23.0,other
"Babyfood, dinner, turkey and rice, strained",1.24,7.94,2.27,52.0,19.0,other
"Babyfood, dinner, turkey, rice, and vegetables, toddler",1.6,7.5,3.8,60.0,176.0,other
"Babyfood, dinner, vegetables and beef, junior",3.6,8.84,2.21,77.0,31.0,other
"Babyfood, dinner, vegetables and beef, strained",3.6,8.84,2.21,77.0,31.0,other
"Babyfood, dinner, vegetables and chicken, junior",1.12,8.66,2.04,53.0,34.0,other
"Babyfood, dinner, vegetables and dumplings and beef, junior",0.8,8.0,2.1,48.0,52.0,other
"Babyfood, dinner, vegetables and dumplings and beef, strained",0.9,7.7,2.0,48.0,49.0,other
"Babyfood, dinner, vegetables and lamb, junior",1.7,7.1,2.1,51.0,13.0,other
"Babyfood, dinner, vegetables and noodles and turkey, junior",1.5,7.6,1.8,52.0,17.0,other
"Babyfood, dinner, vegetables and noodles and turkey, strained",1.2,6.8,1.2,44.0,21.0,other
